8:36;W25100;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
8:37;W25102;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
8:40;VY1515;Barcelona (BCN);Vueling ;A320 (EC-LVT) ;Landed 08:44;Arrival
8:55;AF7700;Paris (CDG);Air France ;A321 (F-GTAZ) ;Landed 08:55;Arrival
9:00;U27925;Amsterdam (AMS);easyJet ;A319 (OE-LQE) ;Landed 08:37;Arrival
9:05;U23991;Paris (CDG);easyJet ;A320 (OE-ICJ) ;Landed 08:53;Arrival
9:06;HS442;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
9:06;W25104;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
9:07;HS443;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
9:07;W25106;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
9:10;U28349;London (LGW);easyJet ;A319 (G-EZAL) ;Landed 09:05;Arrival
9:30;A54202;Lyon (LYS);Air France ;A319 (F-GRHX) ;Landed 09:22;Arrival
9:36;HS444;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
9:36;W25108;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
9:37;HS445;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
9:37;W25110;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
9:40;U21377;Geneva (GVA);easyJet ;A320 (OE-IVT) ;Landed 09:14;Arrival
9:45;LH1058;Frankfurt (FRA);Lufthansa ;A320 (D-AIPZ) ;Landed 09:27;Arrival
9:50;LY5135;Tel Aviv (TLV);AirExplore ;B738 (OM-FEX) ;Landed 10:07;Arrival
9:55;AF6202;Paris (ORY);Air France ;A321 (F-GMZE) ;Landed 09:52;Arrival
10:05;LX562;Zurich (ZRH);Swiss ;A320 (HB-JLR) ;Landed 10:05;Arrival
10:05;U23103;London (STN);easyJet ;A319 (G-EZBH) ;Landed 10:02;Arrival
10:06;HS446;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
10:06;W25112;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
10:07;HS447;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
10:07;W25114;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
10:10;BT695;Riga (RIX);Air Baltic ;BCS3 (YL-CSK) ;Landed 09:48;Arrival
10:20;DL412;New York (JFK);Delta Air Lines (SkyTeam Livery) ;B764 (N844MH) ;Landed 10:10;Arrival
10:25;AF6204;Paris (ORY);Air France ;A320 (F-GKXK) ;Landed 10:19;Arrival
